101/10/24,16376898.0,2267563210.0,128.0,148.0,128.0,144.0,X0.00,9996.0
101/10/25,7042790.0,962012150.0,141.0,142.5,130.5,134.0,-10.00,4689.0
101/10/26,5253053.0,688560837.0,134.0,136.0,126.0,128.0,-6.00,3583.0
101/10/29,7062859.0,799695272.0,126.0,126.0,103.5,107.0,-21.00,4551.0
101/10/30,5022578.0,583548626.0,110.0,119.5,110.0,117.0,+10.00,3167.0
101/10/31,5320647.0,649841875.0,120.0,125.0,118.0,125.0,+8.00,3341.0
101/11/01,3935779.0,485077982.0,123.5,126.0,120.0,123.0,-2.00,2932.0
101/11/02,2774180.0,346777000.0,124.0,128.0,121.5,123.0,0.00,2010.0
101/11/05,2462314.0,303470622.0,121.0,126.0,121.0,121.0,-2.00,1885.0
101/11/06,2299385.0,280496470.0,122.0,123.5,120.5,122.0,+1.00,1752.0
101/11/07,6245803.0,797414291.0,122.0,130.5,122.0,130.5,+8.50,3699.0
101/11/08,6850767.0,914824511.0,130.5,137.0,128.5,134.0,+3.50,4432.0
101/11/09,4845059.0,648496142.0,134.0,138.0,128.0,136.5,+2.50,3575.0
101/11/12,3529631.0,472075792.0,136.0,136.0,130.5,130.5,-6.00,2736.0
101/11/13,3442983.0,450394273.0,129.0,135.0,126.5,129.5,-1.00,2722.0
101/11/14,4564997.0,617582583.0,128.5,138.5,128.5,138.5,+9.00,3227.0
101/11/15,4014556.0,548939560.0,138.5,139.5,133.0,133.0,-5.50,3102.0
101/11/16,2461142.0,331929455.0,134.5,137.5,132.5,133.0,0.00,1979.0
101/11/19,4315318.0,559236568.0,134.0,135.0,124.0,126.0,-7.00,3075.0
101/11/20,2622865.0,341881879.0,128.5,132.5,128.5,130.5,+4.50,2062.0
101/11/21,2501430.0,321040040.0,132.0,132.0,125.5,127.0,-3.50,1950.0
101/11/22,2368305.0,307001540.0,130.0,132.0,128.0,128.0,+1.00,1831.0
101/11/23,2880289.0,370235281.0,129.0,130.5,126.0,129.0,+1.00,2115.0
101/11/26,1971830.0,254811570.0,130.5,130.5,128.0,129.0,0.00,1499.0
101/11/27,3534870.0,472263272.0,130.0,135.5,129.5,133.0,+4.00,2656.0
101/11/28,1962786.0,260745143.0,133.0,134.0,131.5,132.5,-0.50,1438.0
101/11/29,2340098.0,306856984.0,134.0,134.0,129.0,130.5,-2.00,1765.0
101/11/30,1897331.0,247544030.0,131.5,131.5,129.5,130.0,-0.50,1337.0
101/12/03,1636200.0,210733099.0,130.5,131.0,127.5,128.5,-1.50,1267.0
101/12/04,1220550.0,157750450.0,129.0,131.0,128.0,128.5,0.00,1014.0
101/12/05,3188092.0,422433328.0,129.0,134.0,129.0,132.5,+4.00,2383.0
101/12/06,2350311.0,309309741.0,133.0,134.0,130.5,130.5,-2.00,1634.0
101/12/07,1829512.0,237782584.0,131.0,132.0,128.5,129.0,-1.50,1358.0
101/12/10,2887105.0,382829015.0,130.0,134.5,129.0,133.5,+4.50,2037.0
101/12/11,3759706.0,505865456.0,134.0,137.0,131.5,133.0,-0.50,2806.0
101/12/12,2277750.0,304835000.0,134.0,135.0,132.0,134.5,+1.50,1676.0
101/12/13,5262612.0,729162646.0,135.0,141.0,134.0,137.5,+3.00,3955.0
101/12/14,1873710.0,255312060.0,137.5,138.0,135.0,135.0,-2.50,1470.0
101/12/17,1578333.0,210702789.0,134.0,136.0,132.0,132.0,-3.00,1263.0
101/12/18,1454030.0,191696475.0,132.0,133.5,130.5,131.0,-1.00,1183.0
101/12/19,2458570.0,322297100.0,132.0,134.0,129.0,129.5,-1.50,1873.0
101/12/20,3354028.0,420961500.0,129.5,130.5,121.0,123.5,-6.00,2772.0
101/12/21,1842361.0,222461583.0,124.0,124.5,118.0,121.5,-2.00,1536.0
101/12/22,738289.0,90669547.0,122.0,124.0,121.5,123.0,+1.50,668.0
101/12/24,1177554.0,147291196.0,123.5,127.5,122.0,125.5,+2.50,1028.0
